emp_no,first_name,last_name,title
24205,Roddy,Rubsam,Senior Engineer
24377,Lubomir,Wroclawski,Engineer
24394,Zhonghui,Conta,Staff
24553,Anwar,Passafiume,Senior Staff
24571,Cordelia,Gischer,Engineer
25488,Ingmar,Basawa,Senior Staff
26629,Nevin,Rodham,Senior Staff
26671,Jiakeng,Kalorkoti,Engineer
26788,Zongyan,Dalphin,Engineer
27331,Wanqing,Krohm,Senior Staff
27378,Piyawadee,Leppanen,Senior Staff
27620,Shuji,Kandlur,Engineer
27686,Manu,Rosiles,Senior Staff
27699,Falguni,Pezzoli,Engineer
27767,Tooru,Veldwijk,Senior Staff
28193,Xinglin,Mitsuhashi,Engineer
28974,Chenxi,Sundgren,Senior Engineer
28988,Tua,Giveon,Technique Leader
29130,Xumin,Thorensen,Staff
29265,Gilbert,Calkin,Senior Staff
29380,Satoru,Vidal,Assistant Engineer
29418,Valery,Mersereau,Assistant Engineer
29679,Kolar,Steenbeek,Senior Engineer
29782,Jouko,Hellwagner,Senior Engineer
29954,Pranay,Giarratana,Senior Engineer
30007,Kousuke,Vecchio,Engineer
30035,Tetsushi,Conta,Senior Staff
30154,Mayuko,Skafidas,Technique Leader
30182,Leon,Potthoff,Engineer
30465,Randi,Avouris,Engineer
30484,Sailaja,Chvatal,Staff
30695,Gudjon,Majewski,Senior Engineer
30938,Yakkov,Samarati,Senior Staff
31147,Divine,Sidhu,Senior Staff
31188,Leandro,Gist,Technique Leader
31207,Abdelwaheb,Dulin,Senior Engineer
31341,Oksana,Zultner,Senior Staff
31514,Harngdar,Schapire,Engineer
31568,Mark,Lalonde,Staff
31909,Murthy,Peek,Engineer
32347,Terresa,Peres,Senior Staff
32552,Atreye,Stanger,Assistant Engineer
32649,Ingmar,Nannarelli,Senior Staff
32714,Radoslaw,Maliniak,Staff
32844,Tadahiko,Melton,Engineer
33025,Jessie,Thorelli,Senior Staff
33215,Steen,Fasbender,Technique Leader
33722,Anwar,Collette,Senior Engineer
34077,Angel,Sichman,Senior Staff
34261,Kyoichi,Callaway,Senior Staff
34446,Chinhyun,Bauknecht,Senior Engineer
34452,Naftaly,Foong,Engineer
34505,Felicidad,Kumaresan,Senior Staff
34533,Erzsebet,Shigei,Senior Engineer
34780,Moni,Kohling,Staff
34788,Ennio,Babu,Senior Engineer
34936,Bokyung,Stamatiou,Technique Leader
35044,Jiang,Waschkowski,Engineer
35087,Leif,Ashish,Senior Staff
35441,Chandrasekaran,Peek,Engineer
35642,Ashish,Talmon,Engineer
35793,Oscar,Kusalik,Senior Staff
35798,Ulf,Oberman,Senior Engineer
36521,Serif,Gladwell,Senior Staff
36626,Fen,Genin,Senior Staff
36733,Uma,Reinhard,Staff
36844,Hailing,Levergood,Staff
36982,Kotesh,Rajala,Engineer
37070,Jeong,Undy,Senior Staff
37945,Suzette,Butterworth,Senior Engineer
38043,Michaela,Randi,Engineer
38103,Masasuke,Babu,Engineer
38168,Fumiko,Deverell,Senior Staff
38550,JoAnne,Baez,Senior Engineer
38593,Huei,Orsini,Engineer
38947,Shuichi,Ruemmler,Senior Staff
39000,Martijn,Vendrig,Senior Staff
39036,Changho,Cappelli,Staff
39301,Rimon,Kawashima,Senior Staff
39341,Mahmut,Lampe,Engineer
39952,Otmar,Sudbeck,Staff
40269,Toshiki,Ghazalie,Senior Staff
40283,Sudhanshu,Boissier,Engineer
40301,Spyrose,Felder,Senior Engineer
40536,Harngdar,Bernardinello,Engineer
40765,Michaela,Ramsak,Senior Staff
40773,Shimshon,Aingworth,Senior Staff
40983,Marla,Cherinka,Technique Leader
41114,Petter,Thummel,Technique Leader
41137,Bikash,Buchter,Senior Staff
41357,Willard,Vernadat,Engineer
41518,Keung,Schapiro,Senior Engineer
41520,Xiong,Uhrik,Senior Engineer
41609,Yucai,Simmen,Senior Staff
42778,Shuji,Remmers,Senior Staff
42911,Brigham,Eterovic,Engineer
42950,Shaleah,Eickenmeyer,Senior Staff
42955,Yucel,Lortz,Engineer
43154,Maha,Waterhouse,Senior Staff
43733,Huei,Boguraev,Senior Staff
43848,Phillip,Oxenboll,Engineer
44054,Alenka,Ritcey,Engineer
44265,Maria,Eppinger,Engineer
44540,Mingzeng,Sadowski,Senior Engineer
44900,Mark,Schwaller,Senior Staff
44959,Volkmar,Uhrik,Engineer
44962,Sariel,Wynblatt,Assistant Engineer
45162,Dulce,Speel,Engineer
46000,Zhaofang,Penn,Senior Staff
46328,Wuxu,Trogemann,Senior Staff
46811,Junsik,Berendt,Senior Engineer
46834,Tooru,Daescu,Senior Staff
46943,Pasqua,Maraist,Engineer
47016,Toong,Litecky,Senior Staff
47139,Marco,Usdin,Engineer
47262,Gonzalo,Binkley,Engineer
47515,Naraig,Jenevein,Senior Engineer
47702,Juyoung,Vieri,Senior Staff
47708,Edwin,Haldar,Senior Staff
48275,Sariel,Massonet,Senior Staff
48690,Hitomi,Schaap,Staff
48882,Leen,Lamparter,Engineer
48904,Yuichiro,Malabarba,Senior Staff
48947,Filipp,Akaboshi,Senior Staff
49010,Kazuhisa,Benantar,Senior Staff
49017,Filipp,Flanders,Engineer
49119,Lena,Peek,Engineer
49177,Tze,Bach,Engineer
49464,Siddarth,Cappelletti,Staff
49477,Baocai,Leaver,Senior Staff
50293,Xinan,Rindone,Engineer
50311,Mooi,Stafford,Senior Engineer
50453,Aron,Harbusch,Staff
50670,Boguslaw,Snedden,Senior Staff
50831,Marie,Khalid,Senior Engineer
51036,Chriss,Fasbender,Staff
51057,Theirry,Albarhamtoshy,Senior Staff
51060,Youngkon,Rohrbach,Engineer
51142,Rosine,Lakshmanan,Engineer
52038,Chikako,Armand,Senior Engineer
52040,Phule,Heijenga,Senior Staff
52283,Trygve,Krupka,Senior Staff
52386,Adas,Denti,Senior Staff
52590,Jouni,Munoz,Senior Staff
52599,Augustine,Mungall,Engineer
52639,Arup,Colorni,Senior Staff
52770,Shugo,Yurek,Senior Staff
52778,Alain,Penn,Technique Leader
52956,Khalil,Picci,Engineer
52970,Lobel,Werthner,Engineer
53278,Premsyl,Lortz,Senior Staff
53314,Eberhardt,Carrera,Staff
53431,Sham,Vasanthakumar,Senior Staff
53499,Zdislav,Mandelberg,Engineer
53597,Jiafu,Marchegay,Engineer
53874,Bodo,Schade,Senior Staff
53924,Arnould,Gaughan,Engineer
54198,Shaowen,Segond,Engineer
54632,Etsuo,Serot,Senior Staff
54795,Sumant,Nergos,Senior Staff
54800,Breannda,Cangellaris,Staff
55640,Adit,Syrotiuk,Engineer
55687,Shih,Lindqvist,Senior Engineer
55799,Jianwen,Litzler,Engineer
55857,Adin,Scallan,Senior Staff
56105,Makato,Remmers,Engineer
56209,Remzi,Douceur,Engineer
56415,Sigeru,Nivat,Senior Staff
56428,Olivera,Hanabata,Senior Staff
56682,Roded,Picco,Assistant Engineer
56829,Nagui,Gruenwald,Engineer
56847,Menkae,Chinin,Senior Engineer
57934,Sanjoy,Boudaillier,Engineer
58141,Bezalel,Karner,Staff
58147,Shigenori,Sullins,Senior Staff
58384,Mariusz,Vural,Engineer
58454,Ziya,Zambonelli,Engineer
58497,Yechiam,Cairo,Senior Staff
58819,Gennady,Liesche,Senior Staff
58990,Palash,Trelles,Engineer
59195,Ronnie,Pollock,Technique Leader
59640,Zita,Hiltgen,Staff
59869,Zsolt,Riefers,Senior Staff
59966,Steen,Salvesen,Technique Leader
60000,Heekeun,Emmart,Assistant Engineer
60091,Surveyors,Bade,Senior Staff
60238,Erzsebet,Claffy,Staff
60559,Jeanna,Stemann,Engineer
60821,Moty,Mersereau,Senior Staff
60845,Bedir,Siegrist,Engineer
60875,Rildo,Masaki,Engineer
60959,Tetsushi,Sridhar,Senior Staff
61147,Leszek,Werthner,Staff
61253,Cheong,Uhrik,Engineer
61377,Dannz,Ohori,Senior Staff
61541,Kasidit,Papsdorf,Engineer
61873,Woody,Rusmann,Assistant Engineer
62033,Heeju,Cappelli,Engineer
62046,Karlis,Nanard,Engineer
62245,Adel,Bressoud,Engineer
63294,Tetsushi,Tanemo,Engineer
63419,Hiroyasu,Seuren,Senior Engineer
63441,Hinrich,Scallan,Staff
63566,Heekeun,Slaats,Senior Staff
63631,Falguni,Cherinka,Senior Engineer
63706,Sedat,Itzigehl,Engineer
64023,Laurentiu,Benzmuller,Senior Engineer
64209,Golgen,Schoegge,Senior Staff
64487,Tsutomu,Rebaine,Engineer
64532,Atilio,Segond,Engineer
64632,Zsolt,Brender,Senior Staff
64790,Shin,Piveteau,Engineer
64828,Krister,Pappas,Staff
64984,Eldridge,Eldridge,Engineer
65171,Jeane,Tasistro,Technique Leader
65539,Aksel,Picaronny,Engineer
65883,Patricia,Pepe,Senior Staff
65998,Mandell,Alameldin,Senior Staff
66382,Domenico,Candan,Engineer
66530,Dung,Leaver,Staff
66643,Jianhao,Tomescu,Engineer
66702,Deniz,Thibadeau,Engineer
66757,Yonghong,Baig,Staff
66807,Aiman,Rosaz,Engineer
67320,Sadok,Lorys,Senior Staff
67548,Fumitaka,Roohalamini,Staff
67934,Aiman,Gargeya,Engineer
68416,Munenori,Debuse,Senior Engineer
68608,Yucai,Seghrouchni,Engineer
68633,Chinhyun,Rassart,Senior Engineer
68648,Jaques,DiGiano,Technique Leader
69052,Shietung,Shrader,Senior Staff
69219,Shuky,Redmiles,Senior Staff
69867,Miyeon,Rothe,Senior Staff
69878,Chinya,Cooke,Engineer
69936,Lalit,Unni,Assistant Engineer
70469,Tru,Miyakawa,Senior Staff
70990,Arumugam,Nitta,Senior Engineer
71066,Domenick,Basart,Senior Staff
71141,Sajjad,Vitiello,Senior Staff
71188,Pranjal,Schapiro,Senior Staff
71243,Kinh,Buchter,Engineer
71334,Cathie,Peck,Engineer
71685,Kristinn,Olano,Senior Engineer
71710,Hitomi,Takanami,Assistant Engineer
71745,Adil,Laventhal,Assistant Engineer
72190,Sajjad,Waeselynck,Engineer
72194,Feiyu,Siepmann,Senior Engineer
72232,Naraig,Veldwijk,Engineer
72640,Honglan,Hutton,Engineer
72918,Takahira,Szilard,Senior Staff
73076,Froduald,Feldhoffer,Senior Engineer
73233,Shigeo,Merey,Senior Engineer
73516,Qingxiang,Badache,Engineer
73743,Anneke,Bernardeschi,Engineer
74200,Holgard,Weiland,Senior Engineer
74344,Hiroyasu,Provine,Engineer
74668,Masako,Bonifati,Senior Staff
74800,Yuuichi,Conde,Assistant Engineer
75354,Shuky,Jakobus,Engineer
75703,Kyoichi,Erman,Engineer
76189,Kolar,Hinsberger,Engineer
76201,Arif,Preusig,Senior Engineer
76640,Tristan,Mitsuhashi,Engineer
77030,Faiza,Garnham,Technique Leader
77303,Xinglin,Birge,Senior Staff
77647,Niranjan,Schaaf,Technique Leader
77815,Ronghao,Picaronny,Assistant Engineer
78106,Ashish,Ratnaker,Senior Staff
78363,Susumu,Fritzsche,Engineer
78469,Leucio,Cappelli,Staff
78871,Conor,Ghandeharizadeh,Senior Engineer
79043,Katsuo,Hockney,Technique Leader
79171,Guiseppe,Ellozy,Senior Engineer
79310,Jeong,Cunliffe,Senior Staff
79606,Arnd,Peir,Senior Engineer
79763,Sanjoy,Barreiro,Senior Staff
79895,Fei,Murtagh,Senior Staff
80067,Kazuhisa,Weiland,Senior Staff
80203,Shakhar,Baik,Staff
80432,Stella,Figueira,Senior Staff
80731,Shaowen,Eldridge,Senior Staff
80850,Koldo,Luit,Engineer
80889,Shigeo,Linnainmaa,Senior Engineer
80948,Harjit,Bardell,Engineer
81105,Jaewon,Boissier,Engineer
81545,Larisa,Kornyak,Technique Leader
81644,Divine,Ghandeharizadeh,Staff
81995,Sreekrishna,Brender,Engineer
82069,Yechezkel,Perfilyeva,Engineer
82098,Poornachandra,Wilharm,Engineer
82351,Stevo,Thambidurai,Senior Staff
82511,Uwe,Koblick,Engineer
82919,Shigeu,Claffy,Engineer
82928,Alselm,Rikino,Engineer
83280,Francesca,Ellozy,Senior Engineer
83289,Shigeichiro,Engelmann,Engineer
83509,Breannda,Collavizza,Engineer
83544,Leaf,Baak,Senior Staff
83714,Ohad,Kilgore,Engineer
83805,Manohar,Harllee,Senior Engineer
83941,Zsolt,Hagimont,Senior Staff
84029,Babette,Eugenio,Staff
84179,Shuichi,Nanard,Senior Engineer
84236,Eberhardt,Barriga,Senior Staff
84315,Kristina,Baumann,Assistant Engineer
84451,Shiv,Aumann,Senior Engineer
84508,Tommaso,Vidya,Engineer
84840,Sverrir,Neimat,Staff
84922,Parke,Unno,Engineer
84942,Shin,Fujisaki,Technique Leader
85216,Ferdinand,Rosiles,Senior Staff
85288,Younwoo,Luders,Engineer
85414,Chiradeep,Callaway,Staff
85445,Yongdong,Pollock,Staff
85702,Udi,Merks,Engineer
85874,Pasqua,Taubman,Senior Staff
86213,Kristine,Clemencon,Senior Staff
86354,Ronghao,Segond,Senior Engineer
86422,Jaewon,Thummel,Senior Staff
86546,Oldrich,Woycyznski,Engineer
86655,Zhenhua,Lorys,Engineer
86672,JoAnne,Anido,Staff
87129,Keung,Neiman,Staff
87353,Quingbo,Coombs,Senior Engineer
87714,Khun,Janetzko,Assistant Engineer
87729,Yongmin,Roccetti,Senior Staff
87783,Conor,Thorensen,Senior Engineer
88103,Goo,Bresenham,Senior Staff
88411,Lena,Cannane,Engineer
88422,Jungsoon,Birsak,Technique Leader
88647,Vasiliy,Ratnaker,Engineer
88958,Vojin,Coombs,Senior Staff
88965,Mang,Hedayat,Engineer
89048,Otmar,Birjandi,Engineer
89090,Tetsushi,Theuretzbacher,Senior Staff
89161,Conal,Yetto,Senior Staff
89207,Along,Erol,Senior Staff
89346,Mansur,Comyn,Engineer
89590,Guther,Rothenberg,Senior Staff
89664,Pranjal,Rossi,Staff
89680,Aiman,Mawatari,Engineer
89806,Xiadong,Shinomoto,Engineer
89922,Alexius,Ibel,Engineer
89941,Arnould,Weedman,Senior Staff
90077,Vivian,Guerreiro,Assistant Engineer
90084,Renny,Bale,Engineer
90211,Bader,Denis,Engineer
90292,Koichi,Assaf,Engineer
90518,Fumiko,Chepyzhov,Senior Staff
90614,Yonghoan,Trogemann,Assistant Engineer
90692,Rajmohan,DasSarma,Senior Staff
91172,Kazuhisa,Melter,Senior Staff
91182,Lucien,Schwartzburd,Engineer
91229,Yahiko,Hebden,Engineer
91256,Gunilla,Milicic,Staff
91333,Lobel,Stafford,Staff
91415,Jamaludin,Nilsson,Senior Staff
91648,Dmitry,Msuda,Senior Staff
92438,Aria,Kilgore,Engineer
92454,Visit,McFarlan,Engineer
92577,Zhanqiu,Farrow,Assistant Engineer
92598,Ranga,Merro,Assistant Engineer
92685,Mang,Atchley,Senior Staff
92841,Claude,Candan,Senior Staff
92846,Anyuan,Kropatsch,Senior Staff
92920,Huei,Hutter,Engineer
93040,Jaques,Kabayashi,Senior Engineer
93220,Richara,Walston,Senior Engineer
93278,Magdalena,Penn,Engineer
93549,Arie,Coullard,Senior Staff
93600,Kristina,Neimat,Technique Leader
94331,Ramzi,Cronau,Technique Leader
94416,Aran,Cesareni,Senior Staff
94761,Hitofumi,Zaccaria,Engineer
94944,Heping,Matheson,Engineer
95181,Yishai,Cappelli,Staff
95286,Kristin,Guerreiro,Engineer
95314,Rasiah,Koblick,Senior Staff
95406,Alair,Lyonns,Engineer
95416,Gianluca,Ramaiah,Engineer
95509,Kristinn,Loncour,Engineer
95920,Nobuyoshi,Hegner,Senior Staff
96571,Kokou,Garrabrants,Senior Engineer
96579,Mohan,Tasistro,Engineer
96767,Arumugam,Vecchio,Engineer
97018,Jeanna,Chinen,Engineer
97623,Haldon,Janetzko,Senior Staff
97661,Avishai,Hegner,Senior Staff
98288,Sumali,Huttel,Senior Staff
98306,Ziya,Kadhim,Senior Engineer
98639,Florina,Assaf,Staff
99057,Shugo,Reeken,Staff
99373,Xiaobin,Christianini,Senior Staff
99377,Carrsten,Francisci,Senior Engineer
99590,Dhritiman,Anily,Staff
99654,Mahendra,Motley,Senior Staff
100865,Hisao,Peral,Engineer
100916,Heejo,Aamodt,Engineer
101487,Abdelaziz,Sury,Senior Staff
101647,Mori,Homond,Senior Staff
101902,Mantis,Millington,Senior Staff
102620,Adin,Templeman,Engineer
103196,Djenana,Albarhamtoshy,Senior Staff
103310,Visit,Swen,Senior Staff
103316,Susanne,Peternell,Engineer
103342,Beshir,Hellwagner,Engineer
103756,Heping,Halloran,Assistant Engineer
104133,Pranjal,Zyda,Senior Staff
104845,Werner,Lodder,Senior Staff
104988,Parviz,Litzler,Engineer
105342,Kwun,Reeker,Technique Leader
105356,Diederik,Matzov,Engineer
105432,Mohamadou,Stafford,Engineer
105520,Haldun,Lienhardt,Senior Staff
105731,Sachem,Cromarty,Assistant Engineer
106096,Naftali,Schurmann,Engineer
106242,Nevio,Thisen,Senior Staff
106695,Lijie,Garrabrants,Senior Staff
106710,Babette,Anandan,Senior Staff
107486,Siamak,Luiz,Senior Engineer
107737,Fabrizio,Chleq,Senior Engineer
107792,Shahab,Crooks,Senior Staff
107828,Ramya,Walston,Senior Staff
108091,Hisao,Ghemri,Senior Staff
108198,Randi,Samarati,Senior Staff
108316,Shai,Stellhorn,Senior Engineer
108988,Oksana,Baek,Senior Staff
109062,Jamaludin,Kandlur,Senior Engineer
109211,Gor,Delgrande,Engineer
109252,Moty,Winter,Technique Leader
109278,Bangqing,Schach,Senior Staff
109552,Menkae,Etalle,Assistant Engineer
109598,Stamatina,Auyong,Senior Staff
109620,Mani,Cannata,Senior Staff
109703,Arco,Walston,Engineer
109741,Hatem,Fadgyas,Senior Engineer
109953,Godehard,Chorvat,Senior Staff
200267,Chuanti,Luff,Senior Staff
200312,Akemi,Fujisaki,Senior Engineer
200363,Kirk,Quaggetto,Engineer
200735,Dinah,Denos,Senior Staff
200789,Susumu,Camurati,Senior Staff
201229,Alejandra,Khasidashvili,Staff
201708,Anneli,Perl,Senior Staff
201709,Fan,Kakkad,Senior Staff
201739,Genta,Terekhov,Assistant Engineer
201801,Waiman,Genin,Engineer
201915,Sudharsan,DeMori,Engineer
202291,Ortrun,Schmiedel,Engineer
202403,Gully,Perko,Engineer
202414,Zvonko,Murthy,Senior Staff
202552,Morris,Saoudi,Engineer
202826,Kerhong,Matzke,Engineer
202882,Isaac,Koshino,Senior Engineer
202950,Giordano,Pietrzykowski,Senior Staff
203474,Hugh,Jonsson,Senior Staff
203495,Zongyan,Gips,Technique Leader
203599,Ewing,DiGiano,Technique Leader
203720,Sasan,Thimonier,Senior Staff
203946,Yefim,Marwedel,Senior Staff
204117,Jessie,Nooteboom,Staff
204133,Susuma,Bergere,Senior Staff
204246,Arve,Worfolk,Senior Staff
204425,Gretta,Huttel,Senior Engineer
204470,Hein,Lichtner,Senior Staff
204471,Franziska,Maginnis,Engineer
204764,Susanne,Mandelberg,Engineer
205018,Yahiko,Awdeh,Engineer
205085,Moni,Kornyak,Technique Leader
205174,Leszek,Spinelli,Staff
205500,Mary,Setiz,Senior Engineer
205627,Stabislas,Broder,Engineer
205660,Kien,Barreiro,Staff
205699,Youjian,Yetto,Senior Staff
205789,Limsoon,Skafidas,Senior Staff
205863,Aiichiro,Kusalik,Engineer
206748,Yucai,Fabrizio,Staff
206836,Guadalupe,Pfau,Senior Staff
206966,Tzu,Sichman,Engineer
207021,Jacqueline,Akaboshi,Engineer
207068,Zhiguo,Ariola,Senior Staff
207204,Kellie,Schrooten,Assistant Engineer
207401,Shuji,Barbanera,Senior Staff
207551,Baziley,Falck,Assistant Engineer
207779,Chinya,Kamble,Senior Staff
207980,Remko,Vieth,Senior Staff
208147,Manu,Rothenberg,Engineer
208330,Shen,Flanders,Senior Staff
208639,Larisa,Lukaszewicz,Senior Staff
208653,Phillip,Schade,Engineer
208784,Pranjal,Juneja,Senior Engineer
209101,Xinyu,Edelhoff,Senior Engineer
209443,Krassimir,Garnier,Senior Staff
209565,Dante,Covnot,Senior Staff
209712,Nimmagadda,Baak,Assistant Engineer
210017,Shalesh,Lovengreen,Senior Staff
210292,Lihong,Zeilberger,Staff
210449,Gino,Lagarias,Engineer
210752,Saniya,Stenning,Senior Staff
210786,Werner,Ranze,Staff
211858,Domenico,Ratnaker,Engineer
211879,Gao,Ranze,Engineer
211967,Anwar,Bain,Engineer
212093,Leni,Henders,Senior Staff
212154,Sailaja,Holburn,Senior Staff
212361,Claudi,Stanfel,Engineer
213016,Yongmao,Fontan,Engineer
213140,Tru,Danecki,Staff
213384,Pranas,Narwekar,Engineer
213447,Armond,Perly,Engineer
214215,Xiaoqiang,Cardazo,Senior Staff
214391,Rayond,Klassen,Senior Staff
214427,Peer,Molberg,Engineer
214539,Ingmar,Kohling,Engineer
214634,Shirish,Vickson,Engineer
214789,Arfst,Chepyzhov,Engineer
214866,Gopalakrishnan,Angel,Engineer
214995,Dinkar,Hoppenstand,Engineer
215419,Flemming,Kroha,Staff
215629,Munehiro,Manders,Senior Staff
215746,Sven,Speer,Staff
215843,Pramod,Loncour,Senior Staff
216054,Sahrah,Angiulli,Senior Staff
216342,Aiichiro,Cromarty,Engineer
216375,Byong,Gustavson,Senior Engineer
216502,Xiaocheng,Suermann,Engineer
216573,Ashish,Vidya,Engineer
216921,Lena,Lenart,Senior Staff
217026,Otmar,Engberts,Senior Staff
217080,Masami,Puoti,Senior Engineer
217272,Yuchang,Eldridge,Senior Staff
217286,Yannik,Spelt,Technique Leader
217320,Abdelwaheb,Denis,Engineer
217363,Horward,Marzano,Staff
217387,Jianhao,Molenaar,Engineer
217551,Panayotis,Lukaszewicz,Engineer
217800,Shay,Servieres,Senior Staff
218022,Mokhtar,Poupard,Technique Leader
218100,Jiong,Garnham,Senior Staff
218831,Unal,DuBourdieux,Engineer
219035,Kristine,Bierman,Technique Leader
219047,Aemilian,Kusalik,Engineer
219052,Marsal,Acton,Staff
219417,Subhrajyoti,Denna,Staff
219497,Moie,Zastre,Technique Leader
219967,Susanna,Reeken,Senior Staff
220029,Demos,Asser,Senior Engineer
220131,Reinhard,Slaats,Engineer
220418,Poorav,Laventhal,Staff
220528,Sibyl,Rabehasaina,Senior Staff
220582,Poornachandra,Zielinski,Senior Staff
220611,Yuping,Babb,Senior Staff
220625,Shigenori,Deville,Technique Leader
220699,Nahid,Gyimothy,Staff
220799,Perla,Orlowska,Senior Engineer
221126,Tesuya,dAstous,Engineer
221367,Saddek,Farris,Senior Staff
221369,Abdulah,Pocchiola,Engineer
221435,Djenana,Marrevee,Engineer
221973,Sangeeta,Kalefeld,Senior Staff
222206,Stein,Uludag,Senior Staff
222311,Miyeon,Billingsley,Senior Engineer
222319,Matt,Chvatal,Senior Engineer
222354,Valdiodio,Schlumberger,Assistant Engineer
222616,Badri,Schapire,Assistant Engineer
222770,Kazuhiko,Kushner,Senior Engineer
222878,Annemarie,Zallocco,Engineer
222926,Limsoon,Erol,Senior Engineer
222952,Gopalakrishnan,Suermann,Engineer
222998,Leaf,Awdeh,Senior Staff
223593,Hidefumi,Moehrke,Staff
223595,Chiranjit,Dredge,Technique Leader
224135,Annemarie,Bressoud,Engineer
224335,Perry,Chachaty,Engineer
224390,True,Shobatake,Senior Staff
224934,George,Miake,Senior Staff
225438,Remmert,Quaggetto,Senior Staff
225601,Masasuke,Genin,Assistant Engineer
225788,Ipke,Kieras,Engineer
225867,Ramalingam,Remmele,Senior Engineer
225964,Mooi,Cooman,Engineer
226216,Giordano,Gini,Technique Leader
226227,Herbert,Erva,Engineer
227354,Gio,Murtha,Engineer
227476,Macha,Schnabel,Engineer
227681,Mikhail,Rousseau,Staff
227899,Garnik,Luce,Staff
227901,Francesca,Azuma,Senior Staff
228098,IEEE,Kroll,Engineer
228248,Yuriy,Plump,Senior Staff
228554,Bilhanan,Brendel,Senior Staff
228766,Nahla,Smailagic,Engineer
229098,Berry,Yurek,Senior Staff
229220,Fabrizio,Lichtman,Engineer
229248,Harjit,Terekhov,Staff
229386,Pohua,Tasistro,Technique Leader
229391,Paloma,Henseler,Engineer
229404,Gilbert,Kilgour,Staff
229547,Moni,Schach,Senior Staff
229727,Ewing,Millington,Engineer
229981,Jamaludin,Fordan,Engineer
230002,Tadahiro,Backhouse,Engineer
230126,Bezalel,Radivojevic,Senior Staff
230287,Renny,Alameldin,Assistant Engineer
230354,Yinghua,Lorho,Senior Staff
230498,Kolar,Puppo,Engineer
230579,Shahar,Negoita,Senior Staff
230689,Dietrich,Crabtree,Senior Staff
230865,Takushi,Brattka,Staff
231069,Trygve,Siksek,Staff
231459,Nectarios,Pramanik,Assistant Engineer
231671,Chandrasekaran,Pearson,Staff
231798,Goetz,Alvarado,Engineer
232178,Etsuo,Anandan,Senior Staff
232209,Nitsan,Rouquie,Engineer
232697,Barry,Ramsak,Engineer
232723,Tesuya,Bugrara,Assistant Engineer
233114,Alselm,Gargeya,Senior Engineer
233394,Khalid,Lenart,Engineer
233397,Fay,Sundgren,Senior Staff
233426,Etsuo,Usery,Engineer
233690,Cedric,Riefers,Engineer
233759,Zissis,Lodder,Engineer
233765,Kotesh,Chachaty,Engineer
233785,Baziley,Ballarin,Senior Staff
233818,Kellie,Heydon,Engineer
234195,Luerbio,Terkki,Senior Staff
234739,Foong,Aamodt,Senior Engineer
235017,Irena,Dratva,Senior Staff
235096,Sverrir,Gyimothy,Senior Staff
235325,Gro,Prochazka,Engineer
235368,Anneli,Joslin,Senior Engineer
235458,Gio,Heuser,Senior Staff
235729,Henk,Anger,Senior Staff
235780,Sampalli,Bergere,Senior Engineer
235793,Jayesh,Spinelli,Senior Engineer
236315,IEEE,Raczkowsky,Technique Leader
236566,Yechezkel,Maginnis,Senior Staff
